epoch,acc,iou,loss,lr,precision_42,recall_42,val_acc,val_iou,val_loss,val_precision_42,val_recall_42
11,0.947594165802002,0.39889973402023315,0.2277413308620453,1e-04,0.9029498100280762,0.8011217713356018,0.8295704126358032,0.12441728264093399,0.4353746473789215,0.4688672721385956,0.11006270349025726
12,0.9494468569755554,0.4137309491634369,0.21845658123493195,1e-04,0.8995959758758545,0.8182936310768127,0.8268918395042419,0.12401940673589706,0.4391487240791321,0.4416658878326416,0.11254105716943741
13,0.953057050704956,0.4226260185241699,0.21032968163490295,1e-05,0.9165231585502625,0.8242016434669495,0.8535574674606323,0.17567086219787598,0.37904056906700134,0.7074089050292969,0.22383397817611694
14,0.9593973159790039,0.4369337558746338,0.1996878683567047,1e-05,0.934818685054779,0.8493701219558716,0.8588209748268127,0.19884566962718964,0.36761701107025146,0.6967538595199585,0.29328158497810364
15,0.9613991379737854,0.4418766498565674,0.19609880447387695,1e-05,0.9394899606704712,0.8584202527999878,0.8638258576393127,0.21798527240753174,0.3602038621902466,0.6938092708587646,0.35468795895576477
16,0.9625821709632874,0.44554439187049866,0.19368137419223785,1e-05,0.941565752029419,0.8645914196968079,0.8670664429664612,0.23519758880138397,0.35432592034339905,0.6855406165122986,0.40620484948158264
17,0.9635029435157776,0.448725163936615,0.19162824749946594,1e-05,0.943179190158844,0.8694038987159729,0.8678103089332581,0.2447659969329834,0.35207366943359375,0.6753237247467041,0.43480440974235535
18,0.9642972946166992,0.4516388773918152,0.18977007269859314,1e-05,0.9445631504058838,0.8735500574111938,0.8672054409980774,0.25062018632888794,0.3519746661186218,0.663040280342102,0.4538608491420746
19,0.9650336503982544,0.4543878138065338,0.18802592158317566,1e-05,0.9458606243133545,0.8773407340049744,0.865999162197113,0.25359201431274414,0.35291558504104614,0.653171718120575,0.4615616500377655
20,0.9657208323478699,0.45702576637268066,0.18635565042495728,1e-05,0.9471283555030823,0.8808091878890991,0.8649653196334839,0.2549840807914734,0.35448649525642395,0.6466488242149353,0.46460434794425964
21,0.9666504859924316,0.45947304368019104,0.1845678985118866,1e-06,0.9496150016784668,0.884349524974823,0.8645896315574646,0.254330039024353,0.35448241233825684,0.6461065411567688,0.46060317754745483
22,0.9667383432388306,0.4598100185394287,0.1843683421611786,1e-06,0.9497259855270386,0.8848766684532166,0.8641442060470581,0.2550113797187805,0.35500192642211914,0.6432381272315979,0.4623439908027649
23,0.9668044447898865,0.4601120352745056,0.18418890237808228,1e-06,0.9498273730278015,0.8852775692939758,0.8638856410980225,0.2559517025947571,0.35553866624832153,0.6408283710479736,0.46559271216392517
24,0.9668959975242615,0.4603599011898041,0.18401280045509338,1e-07,0.9500676393508911,0.8856322765350342,0.8637142181396484,0.2566411793231964,0.3559320867061615,0.6392025947570801,0.4677993357181549
25,0.9669017195701599,0.4603893756866455,0.18399545550346375,1e-07,0.9500828385353088,0.885663628578186,0.8635767102241516,0.25710156559944153,0.3561989665031433,0.6380369067192078,0.46929532289505005
26,0.9669062495231628,0.460419237613678,0.1839778870344162,1e-07,0.9500823020935059,0.8856976628303528,0.8634307384490967,0.25739696621894836,0.35639381408691406,0.6369965076446533,0.4702209532260895
27,0.9669166207313538,0.46044453978538513,0.18395984172821045,1e-08,0.950109601020813,0.885739266872406,0.8633599877357483,0.25761112570762634,0.35652846097946167,0.6364054679870605,0.47094953060150146
28,0.9669176340103149,0.46044689416885376,0.18395847082138062,1e-08,0.9501100182533264,0.8857471942901611,0.8633106350898743,0.25775396823883057,0.35661694407463074,0.6360182762145996,0.47138848900794983
