epoch,acc,iou,loss,lr,precision_42,recall_42,val_acc,val_iou,val_loss,val_precision_42,val_recall_42
0,0.6813666224479675,0.1703370064496994,0.6045001745223999,1e-04,0.29596808552742004,0.6496602892875671,0.8292684555053711,0.13609802722930908,0.6401445269584656,0.3956910967826843,0.04343385994434357
1,0.7615218758583069,0.1952543407678604,0.5108761191368103,1e-04,0.3834451138973236,0.6748234629631042,0.8329096436500549,0.1281963586807251,0.5561851859092712,0.11336717754602432,0.00020005971600767225
2,0.8134174942970276,0.21464896202087402,0.4511203169822693,1e-04,0.465731680393219,0.6613628268241882,0.8330641388893127,0.11974439769983292,0.5065224170684814,0.0,0.0
3,0.8531733751296997,0.23733702301979065,0.40569430589675903,1e-04,0.5610120892524719,0.6507982015609741,0.8331114649772644,0.1104298010468483,0.4770045876502991,0.26363635063171387,8.659301238367334e-05
4,0.8834684491157532,0.2637210488319397,0.3661240339279175,1e-04,0.664972722530365,0.6520491242408752,0.8331328630447388,0.10007580369710922,0.46292099356651306,0.0,0.0
5,0.9062097072601318,0.2914300858974457,0.33073922991752625,1e-04,0.7581180930137634,0.676758885383606,0.8331079483032227,0.09322864562273026,0.4593883454799652,0.0,0.0
6,0.9215130805969238,0.317787230014801,0.3016106188297272,1e-04,0.817759096622467,0.7137028574943542,0.8327402472496033,0.09188240766525269,0.4546855092048645,0.11497584730386734,0.0003553299466148019
7,0.9294876456260681,0.3392574191093445,0.2808828353881836,1e-04,0.8443587422370911,0.7401309609413147,0.8295903205871582,0.10031849145889282,0.44655996561050415,0.3270995020866394,0.019271424040198326
8,0.9270159006118774,0.3457583487033844,0.27493393421173096,1e-04,0.8369519710540771,0.729698657989502,0.8190459609031677,0.12060676515102386,0.45161134004592896,0.35395559668540955,0.09493281692266464
9,0.9295066595077515,0.3561137914657593,0.264366090297699,1e-04,0.8450701832771301,0.7367014288902283,0.8318090438842773,0.11502894014120102,0.4309157729148865,0.48356807231903076,0.06335622817277908
10,0.9388909339904785,0.37802404165267944,0.2449721395969391,1e-04,0.8742488622665405,0.77234947681427,0.8315584063529968,0.10428179800510406,0.4363401532173157,0.46491098403930664,0.04654523730278015
